Título ,Quantidade,Preço Unitário ,Valor investido ,Indexador,Percentual Indexado ,Data de Aplicação / Resgate,Vencimento,Juros,Amoritzação
LTN 100000,-12,1000.0,-12000.0,Pré-Fixado,0.095875,2025-07-01,2025-07-01,X,X
NTN-B 760199,-1,4639.888285,-4639.888285,IPC-A,"IPCA + 5,26%",2025-05-15,2025-05-15,Semestral,X
NTN-B 760199,-3,4639.888285,-13919.664854999999,IPC-A,"IPCA + 5,66%",2025-05-15,2025-05-15,Semestral,X
NTN-B 760199,12,4391.136155,52693.63386,IPCA,"IPCA + 7,51% a.a.",2025-01-02,2026-08-15,Semestral,X
LFT 210100,3,15827.964796,47483.894388,Selic (LFT),"100% da Selic + 0,0025% a.a.",2025-01-02,2026-03-01,X,X
NTN-F 950199,-35,1048.80885,-36708.30974999999,Pré-Fixado,0.104025,2025-01-01,2025-01-01,Semestral,X
NTN-F 950199,-15,1048.80885,-15732.132749999999,Pré-Fixado,0.097175,2025-01-01,2025-01-01,Semestral,X
NTN-B 760199,-1,4443.077504,-4443.077504,IPC-A,"IPCA + 6,42%",2024-08-15,2024-08-15,Semestral,X
NTN-F 950199,15,1015.937079,15239.056185000001,Pré-Fixado,0.097175,2024-02-26,2025-01-01,Semestral,X
NTN-B 760199,1,4281.17872,4281.17872,IPC-A,"IPCA + 5,26%",2024-01-18,2025-05-15,Semestral,X
LTN 100000,12,876.127709,10513.532508,Pré-Fixado,0.095875,2024-01-17,2025-07-01,X,X
LTN 100000,-37,999.99999957,-36999.99998409,Pré-Fixado,0.121375,2024-01-02,2024-01-01,X,X
NTN-B 760199,1,4213.041373,4213.041373,IPCA,"IPCA + 6,42%",2023-11-20,2024-08-15,Semestral,X
NTN-B 760199,3,4185.066308,12555.198924,IPCA,"IPCA + 5,66%",2023-11-20,2025-05-15,Semestral,X
NTN-F 950199,35,1008.265361,35289.287635,Pré-Fixado,0.104025,2023-08-21,2025-01-01,Semestral,X
LTN 100000,37,959.912909,35516.777633,Pré-Fixado,0.121375,2023-08-21,2024-01-01,X,X
